C.Wt%,0.249,,eq.strain,eq.stress.MPa,,eq.stress.MPa,theta,,eq.stress.MPa,d.theta/d.stress,d.theta/d.stress(normalised),,eq.stress.MPa,relative.austenite.fraction
,,,0.000209978,46.50068661,,53.64618395,160834.6863,,58.60214423,5.98028477,0.019934283,,,
,,,0.000219976,47.97950466,,55.1228184,157784.6514,,60.36030936,33.25798145,0.110859938,,,
,,,0.000219976,49.43057276,,56.59617874,166163.6037,,62.12545248,55.58149718,0.185271657,,,
,,,0.000239971,50.91986589,,60.16428656,185156.4569,,63.90023545,27.9186097,0.093062032,,,
,,,0.000249969,53.93670271,,59.89209513,196591.8916,,65.68201585,26.36676595,0.08788922,,,
,,,0.000259966,55.43797922,,62.17539817,188617.9248,,67.47835187,31.34641849,0.104488062,,,
,,,0.000269964,57.10300417,,62.34493226,195153.3538,,69.28635052,109.1714435,0.363904812,,,
,,,0.000289958,58.57019936,,66.74130465,193708.277,,71.10972803,82.64503908,0.275483464,,,
,,,0.000289958,60.07098165,,66.53023946,188408.6516,,72.94679261,38.71131802,0.129037727,,,
,,,0.000299955,61.55997619,,69.83849628,164173.7795,,74.7953838,69.75922074,0.232530736,,,
,,,0.000299955,63.08806071,,71.3237623,160333.6817,,76.59241633,66.91036923,0.223034564,,,
,,,0.000319949,66.24229977,,72.72705816,163105.8194,,78.46578673,38.56368747,0.128545625,,,
,,,0.000319949,67.7952219,,72.73173092,154572.6488,,80.33562144,137.5740884,0.458580295,,,
,,,0.000339942,69.30983846,,78.11483081,173626.3727,,82.21138079,97.26644006,0.324221467,,,
,,,0.000349939,70.83869222,,78.03187319,185732.2147,,84.08977906,78.83339108,0.26277797,,,
,,,0.000359935,72.27826753,,80.02665879,175081.3503,,85.97168602,26.49402487,0.088313416,,,
,,,0.000359935,73.88086787,,81.75009016,166226.8249,,87.91831257,57.24916119,0.190830537,,,
,,,0.000389924,77.07349502,,83.68025807,177560.5441,,89.80283437,75.87997437,0.252933248,,,
,,,0.000389924,78.62652582,,83.53893973,166985.7021,,91.68940463,130.4767743,0.434922581,,,
,,,0.00039992,80.16547267,,87.06859127,170991.0249,,93.57608283,130.4576666,0.434858889,,,
,,,0.000409916,81.65731262,,90.47974818,169168.4657,,95.466219,95.61141473,0.318704716,,,
,,,0.000419912,83.20872528,,92.11186759,168041.7369,,97.4315313,86.70056488,0.289001883,,,
,,,0.000419912,84.82382651,,92.29646633,157252.4842,,99.39740766,130.6049956,0.435349985,,,
,,,0.000439903,86.5150859,,95.65420368,160555.2794,,101.3027299,44.68149668,0.148938322,,,
,,,0.000459894,89.94563134,,97.1456214,156601.5692,,103.2091631,46.837528,0.156125093,,,
,,,0.00046989,91.70065271,,98.36457947,150687.6281,,105.1186599,8.165282167,0.027217607,,,
,,,0.00046989,93.56394249,,102.9477496,172535.6832,,107.0315681,28.15950152,0.093865005,,,
,,,0.00048988,95.35718721,,104.7599882,169590.1139,,109.0166805,34.54452274,0.115148409,,,
,,,0.000499875,97.13464562,,104.7668195,164766.7207,,111.008417,83.72680448,0.279089348,,,
,,,0.00050987,98.862516,,106.468157,166892.8378,,112.9992209,71.59575372,0.238652512,,,
,,,0.000539854,102.2722392,,108.5426055,184054.2535,,114.9209573,39.92816148,0.133093872,,,
,,,0.000549849,103.848872,,112.0108823,156637.2345,,116.8371739,57.94077721,0.193135924,,,
,,,0.000549849,105.4641831,,113.2675503,152089.7479,,118.747016,102.6185371,0.34206179,,,
,,,0.000559843,107.0309384,,114.7066152,154964.2833,,120.7219428,62.61664813,0.20872216,,,
